Trees														
	Target Speed	1	m/s											
	Penalty Time	5	sec											
	Collision penalty	5	sec											
												
Iteration  1	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
Iteration  9	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	100.058	0.992	0	0	3.658	3.658	3.658	3.658	0	100.058	1	0.992	99.20%
2	100	101.392	1.031	0	0	3.658	3.593	3.517	3.589	0	101.392	1	1.031	103.10%
3	100	101.696	1.003	0	0	3.517	3.517	3.517	3.517	0	101.696	1	1.003	100.30%
4	100	101.011	0.995	0	0	3.517	3.517	3.517	3.517	0	101.011	1	0.995	99.50%
5	100	101.609	1.016	0	0	3.517	3.517	3.592	3.542	0	101.609	1	1.016	101.60%
6	100	114.493	1.004	0	0	6.706	7.23	7.111	7.016	0	114.493	1	1.004	100.40%
7	100	110.733	1.039	0	0	4.393	6.161	5.345	5.300	0	110.733	1	1.039	103.90%
8	100	121.818	1.009	0	0	4.757	3.121	3.655	3.844	0	121.818	1	1.009	100.90%
9	100	172.269	1.011	0	0	4.302	2.55	4.64	3.831	0	172.269	1	1.011	101.10%
10	100	163.311	0.829	0	0	6.023	4.705	5.493	5.407	0	163.311	1	0.829	82.90%
Iteration  10	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	99.959	1.003	0	0	3.621	3.621	3.621	3.621	0	99.959	1	1.003	100.30%
2	100	101.846	1.01	0	0	3.621	3.621	3.621	3.621	0	101.846	1	1.01	101.00%
3	100	101.179	1.009	0	0	3.621	3.621	3.621	3.621	0	101.179	1	1.009	100.90%
4	100	101.764	1.001	0	0	3.621	3.621	3.621	3.621	0	101.764	1	1.001	100.10%
5	100	101.415	1.005	0	0	3.621	3.621	3.69	3.644	0	101.415	1	1.005	100.50%
6	100	107.812	1.013	0	0	6.099	5.447	5.409	5.652	0	107.812	1	1.013	101.30%
7	100	107.828	1.011	0	0	5.353	6.06	5.338	5.584	0	107.828	1	1.011	101.10%
8	100	119.741	1.007	0	0	4.616	3.101	3.366	3.694	0	119.741	1	1.007	100.70%
9	100	208.867	0.885	0	0	3.834	3.522	5.635	4.330	0	208.867	1	0.885	88.50%
10	100	208.287	0.822	0	0	5.821	4.928	3.909	4.886	0	208.287	1	0.822	82.20%
